*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Solar Charge Board production1
*Date=19:02:55
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
328;;5050;41.5249;-21.4456;0;Top;RGB41
329;100 nF;1206 [SMD, multilayer];68.3747;-21.4458;-90;Top;C43
330;;;10.3748;-100.896;0;Bottom;Via74
331;;;52.5272;-54.8462;0;Bottom;Copper Fill169
332;;;41.6248;-63.6458;0;Bottom;Via76
333;;;42.8498;-47.9882;0;Bottom;Copper Fill186
334;;;39.6748;-56.04;0;Bottom;Copper Fill168
335;;;43.8658;-58.2244;0;Bottom;Copper Fill153
336;;;70.2056;-62.3646;0;Bottom;Copper Fill141
337;;;82.4992;-56.0654;0;Bottom;Copper Fill167
338;;5050;52.5248;-65.1957;0;Top;RGB17
339;100 nF;1206 [SMD, multilayer];57.3748;-21.4458;-90;Top;C42
340;;;52.7558;-87.1042;0;Bottom;Copper Fill56
341;;;54.864;-58.2244;0;Bottom;Copper Fill154
342;;;34.8748;-83.7457;0;Bottom;Via53
343;;;90.7796;-48.928;0;Bottom;Copper Fill192
344;;;70.3072;-86.6216;0;Bottom;Copper Fill63
345;;;71.4756;-47.8104;0;Bottom;Copper Fill196
346;;;5.64002;-38.8301;-90;Bottom;TXT2
347;;;74.5236;-46.5912;0;Bottom;Copper Fill201
348;;;59.4868;-86.5962;0;Bottom;Copper Fill62
349;;;53.5432;-97.8484;0;Bottom;Copper Fill43
350;;;39.0398;-37.0662;0;Bottom;Copper Fill240
351;;;64.5668;-97.8484;0;Bottom;Copper Fill44
352;;;53.8734;-35.0342;0;Bottom;Copper Fill244
353;;;49.1248;-91.3958;0;Bottom;Via1
354;;;64.8716;-43.0098;0;Bottom;Copper Fill212
355;;;81.8748;-34.8957;0;Bottom;Via36
356;;;50.3428;-57.4116;0;Bottom;Copper Fill159
357;;;88.8748;-89.6458;0;Bottom;Via5
358;100 nF;1206 [SMD, multilayer];46.3748;-40.9457;-90;Top;C31
359;;5050;41.5248;-65.1957;0;Top;RGB16
360;;;74.5236;-43.467;0;Bottom;Copper Fill214
361;;;6.5786;-58.5292;0;Bottom;Copper Fill145
362;;;71.1246;-91.3958;0;Bottom;Via3
363;;;41.529;-70.6958;0;Bottom;Copper Fill110
364;;;74.7776;-87.0788;0;Bottom;Copper Fill58
365;;5050;24.5249;-100.946;0;Top;RGB47
366;;;3.37481;-17.6431;0;Bottom;TXT7
367;;5050;52.5249;-21.4456;0;Top;RGB42
368;;;41.529;-18.7528;0;Bottom;Copper Fill286
369;;;41.529;-62.5932;0;Bottom;Copper Fill138
370;;5050;63.5247;-48.9456;0;Top;RGB28
371;;;52.5272;-18.7528;0;Bottom;Copper Fill288
372;;;35.5854;-44.8894;0;Bottom;Copper Fill191
373;;;74.5236;-18.829;0;Bottom;Copper Fill287
374;;;74.2188;-48.1152;0;Bottom;Copper Fill190
375;;;52.5272;-62.8472;0;Bottom;Copper Fill134
376;;;82.4738;-64.0664;0;Bottom;Copper Fill133
377;;;53.8734;-67.1398;0;Bottom;Copper Fill121
378;;;82.3722;-47.8104;0;Bottom;Copper Fill197
379;;;60.1248;-91.3958;0;Bottom;Via2
380;;;59.5376;-38.133;0;Bottom;Copper Fill235
381;;5050;74.7749;-89.4457;0;Top;RGB04
382;;;48.5648;-38.133;0;Bottom;Copper Fill234
383;;;63.5254;-35.466;0;Bottom;Copper Fill245
384;;;59.1058;-62.3646;0;Bottom;Copper Fill140
385;;;82.55;-80.3224;0;Bottom;Copper Fill80
386;;;83.3374;-81.6686;0;Bottom;Copper Fill74
387;;5050;52.5248;-73.1957;0;Top;RGB12
388;;;82.1249;-91.6458;0;Bottom;Via4
389;100 nF;1206 [SMD, multilayer];90.3747;-81.4458;-90;Top;C10
390;;;71.501;-39.8094;0;Bottom;Copper Fill228
391;;;70.8746;-59.1458;0;Bottom;Via29
392;;;41.529;-59.7484;0;Bottom;Copper Fill146
393;;;61.7728;-87.5614;0;Bottom;Copper Fill51
394;;5050;35.5249;-100.946;0;Top;RGB48
395;100 nF;1206 [SMD, multilayer];68.3747;-81.4458;-90;Top;C8
396;100 nF;1206 [SMD, multilayer];46.3748;-81.4458;-90;Top;C6
397;;5050;74.5248;-73.1957;0;Top;RGB14
398;;5050;63.5247;-65.1957;0;Top;RGB18
399;;5050;90.5248;-100.846;0;Top;RGB53
400;;;90.7542;-65.184;0;Bottom;Copper Fill128
401;;;49.7586;-88.3234;0;Bottom;Copper Fill53
402;100 nF;1206 [SMD, multilayer];57.3748;-81.4458;-90;Top;C7
403;;;48.8748;-75.1458;0;Bottom;Via11
